Model,Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Tucson,Porsche,Gasoline,4,27,21
Veloster,Porsche,Gasoline,6,26,19
Venue,Porsche,Gasoline,8,21,14
Q50,Ram,Gasoline,8,21,14
Q60,Ram,Gasoline,4,28,21
QX50,Ram,Gasoline,6,24,17
QX60,Rolls-Royce,Gasoline,12,19,12
QX80,Roush Performance,Gasoline,8,23,14
E-PACE,smart,Gasoline,3,39,32
F-PACE,Subaru,Gasoline,4,27,21
F-TYPE,Subaru,Gasoline,4,33,25
I-PACE,Subaru,Gasoline,6,28,20
XE,Tesla,Electricity,0,98,92
XF,Toyota,Gasoline,4,30,23
Cherokee,Toyota,Gasoline,4,35,32
Compass,Toyota,Gasoline,6,25,20
Gladiator,Toyota,Gasoline,8,18,13
Grand Cherokee,Volkswagen,Gasoline,4,28,21
Renegade,Volkswagen,Gasoline,4,33,24
Wrangler Unlimited,Volkswagen,Gasoline,6,25,18
Cadenza,Volvo,Gasoline,4,29,22
Forte,Volvo,Gasoline,4,32,23
